# number of nonzero terms = 
70
# Expansion is: u = sum_{i,j,k,l,m}=0^{i+j+k+l+m<=order} Cu_{ijklm} xptar^i * yptar^j * ytar^k * (1/p)^l * xtar^m, 
# u = xfp, yfp, xpfp, ypfp. Columns are:
#            Cxfp            Cyfp           Cxpfp           Cypfp   i j k l m
       0.15557055   -0.0010650506     0.087523839   3.5937541e-05   0 0 0 0 0
         3.420805    0.0072866347       1.0074071    0.0037856401   1 0 0 0 0
     0.0042774599       3.3572281    0.0010220958      0.97292294   0 1 0 0 0
      0.017928823      0.98779614    0.0057889819    -0.013242901   0 0 1 0 0
      -0.90767367    0.0043139983     -0.74568665   -0.0011966278   0 0 0 1 0
       0.28042741    0.0080695647     0.036803827    -0.016251044   2 0 0 0 0
       0.24054624      0.88870894     0.084269757      0.50543319   1 1 0 0 0
        2.2935414       1.8345611       1.0589594     0.097553007   0 2 0 0 0
       -3.1874125       0.2148946     0.054061964      0.19768687   1 0 1 0 0
        1.1384763       0.3742604      0.65386043     -0.16768277   0 1 1 0 0
       0.19404606      0.26398233      0.08430551     0.018094694   0 0 2 0 0
      -0.32365338    -0.025967722     -0.10837604     -0.02642599   1 0 0 1 0
      0.034710819      0.24386482     0.024069309      0.16439634   0 1 0 1 0
       -0.1291619    -0.099877609    -0.039243302      0.05744281   0 0 1 1 0
        0.1365802    0.0086945298      0.10930593     0.022684923   0 0 0 2 0
      -0.29194105    -0.090415605    -0.082800515    -0.035303538   3 0 0 0 0
     0.0093602448       1.2815727      0.18380226      0.57607988   2 1 0 0 0
         2.825434      -2.2547581       1.4639136      -1.9319152   1 2 0 0 0
       -2.6059526       21.479177      -3.8189014       11.926355   0 3 0 0 0
      -0.90418399       1.2286398     -0.29276617      0.51074792   2 0 1 0 0
       -7.1317476      -2.2263628       2.2081359     -0.62235842   1 1 1 0 0
       -6.7366715       18.443487      -2.7178071       11.273715   0 2 1 0 0
        2.3153737       -1.155368      0.74526995      0.28000607   1 0 2 0 0
       -5.1867313       8.4856883      -0.4099217       4.3456297   0 1 2 0 0
       -4.3219946       4.0635721      -1.2782824       1.2076048   0 0 3 0 0
      -0.82770868    -0.033113657     -0.61052561      0.06373537   2 0 0 1 0
       -1.7773668      -3.1020355     -0.79980061      -2.0289826   1 1 0 1 0
       -1.6945435      -2.6727381      0.63874255     -0.33608527   0 2 0 1 0
       -1.4609028      -1.3697375     -0.78209747      -1.3449295   1 0 1 1 0
        2.5063526        -1.96597       1.4763839      0.31165888   0 1 1 1 0
        2.2384686      -4.0340907       1.5533076     -0.11972418   0 0 2 1 0
       0.79805107      0.10946863      0.59881253     0.080259226   1 0 0 2 0
     -0.091334926      0.20992874      -0.1825439     -0.59383358   0 1 0 2 0
       0.15869961       1.3125287     0.084647816     0.021107138   0 0 1 2 0
      -0.39862682    -0.050202789     -0.34411457     -0.01334858   0 0 0 3 0
        2.4898407        -0.12092       3.4617355      0.17535906   4 0 0 0 0
      -0.19722666       -16.51195      -1.4789913       -16.83002   3 1 0 0 0
       -42.946297     -0.83938689      -46.274432       5.9786848   2 2 0 0 0
       -36.087788      -153.02071       9.0981377      -36.061225   1 3 0 0 0
       -532.18219      -561.70745       -123.9232      -19.965563   0 4 0 0 0
        0.4296583      -8.9462905     -0.52806405      -8.6720922   3 0 1 0 0
       -47.094792       10.519887       -44.59839       7.4748742   2 1 1 0 0
       -22.429353        -102.915       28.295262      -5.1621018   1 2 1 0 0
       -398.14134      -348.40289      0.14517778       38.179546   0 3 1 0 0
       -16.647469       4.3538262      -11.990334        1.492253   2 0 2 0 0
        13.955474      -44.088011       7.4849427       4.7239446   1 1 2 0 0
       -210.56123      -59.926836      -26.176952        7.115324   0 2 2 0 0
        7.6166602      -27.002156       1.9309818      -4.4557135   1 0 3 0 0
        -131.6595       45.496103      -76.988752       8.5474964   0 1 3 0 0
       -19.911712       31.562324        -11.2542       1.7040416   0 0 4 0 0
        1.0489301       3.4185165     -0.94498817       3.3138274   3 0 0 1 0
        8.1316788      -6.9850329       10.233887       1.1528138   2 1 0 1 0
       -13.139752       3.7814989     -0.86057068     -0.31844156   1 2 0 1 0
       -6.3807896      -176.82273        11.34405      -99.144087   0 3 0 1 0
        4.4778212      -7.4214242       3.3199008      -1.5350479   2 0 1 1 0
       -16.654951        14.59222      -5.0254799       3.6228714   1 1 1 1 0
        38.678484       -139.2275       15.941953      -94.917991   0 2 1 1 0
       -10.884668       11.646937      -3.2556265       2.2834111   1 0 2 1 0
        44.826337      -57.527594       10.182937       -40.11747   0 1 2 1 0
        23.955626      -22.403546       5.0226124      -6.3943484   0 0 3 1 0
      -0.68911833     -0.64311205    -0.087573667      -1.3538324   2 0 0 2 0
        2.0770519       1.0187103      -1.3609909       1.3601594   1 1 0 2 0
        6.6291406       4.6577415       2.9191249       2.1982515   0 2 0 2 0
         2.782703      0.33148093       1.0036394       1.7063423   1 0 1 2 0
         1.592426       4.3397094       2.1998059      0.28886404   0 1 1 2 0
        -2.380388        8.261497      -1.8206886     -0.38485595   0 0 2 2 0
       0.15769379    -0.024594257      0.28920408      0.11060159   1 0 0 3 0
       0.30424778      -0.4271533      0.51494313    -0.094728027   0 1 0 3 0
      -0.24444922      -2.1467957     -0.12709148     -0.66344173   0 0 1 3 0
       0.22952632     0.052022998      0.12639069    0.0029031121   0 0 0 4 0
